,timestamp,open,low,high,close,volume
5589,2022-09-16,4500,4410,4500,4410,210277300
5590,2022-09-19,4460,4440,4560,4500,116164500
5591,2022-09-20,4530,4480,4540,4480,100743700
5592,2022-09-21,4450,4410,4470,4430,91363200
5593,2022-09-22,4400,4380,4450,4430,89922900
5594,2022-09-23,4400,4380,4430,4380,95911400
5595,2022-09-26,4390,4300,4510,4460,132185400
5596,2022-09-27,4450,4380,4470,4440,123113800
5597,2022-09-28,4430,4400,4530,4470,104385500
5598,2022-09-29,4460,4420,4500,4440,90290400
5599,2022-09-30,4400,4390,4500,4460,111482000
5600,2022-10-03,4460,4380,4470,4460,77569100
5601,2022-10-04,4460,4430,4510,4440,87832800
5602,2022-10-05,4490,4460,4540,4460,61888400
5603,2022-10-06,4460,4420,4480,4430,60464300
5604,2022-10-07,4400,4350,4430,4350,102570000
5605,2022-10-10,4340,4330,4420,4420,72389100
5606,2022-10-11,4360,4310,4380,4310,108794500
5607,2022-10-12,4300,4280,4350,4340,107938600
5608,2022-10-13,4330,4290,4350,4300,70034500
5609,2022-10-14,4360,4290,4360,4290,68096300
5610,2022-10-17,4200,4200,4330,4330,90321700
5611,2022-10-18,4310,4250,4340,4250,72516000
5612,2022-10-19,4220,4200,4300,4200,65848300
5613,2022-10-20,4200,4200,4350,4350,165391500
5614,2022-10-21,4300,4300,4390,4360,79825700
5615,2022-10-24,4380,4380,4450,4410,76777200
5616,2022-10-25,4430,4390,4470,4390,109154300
5617,2022-10-26,4420,4330,4430,4370,97320500
5618,2022-10-27,4390,4340,4410,4370,80270300
5619,2022-10-28,4420,4380,4450,4450,91101500
5620,2022-10-31,4460,4360,4460,4390,162753500
5621,2022-11-01,4420,4360,4420,4420,108592900
5622,2022-11-02,4400,4220,4420,4220,217855200
5623,2022-11-03,4140,4050,4170,4130,231475000
5624,2022-11-04,4070,4070,4210,4210,201183100
5625,2022-11-07,4110,4110,4210,4170,0
5626,2022-11-08,4110,4110,4210,4170,0
5627,2022-11-09,4110,4110,4210,4170,0
5628,2022-11-10,4110,4110,4210,4170,81249200
5629,2022-11-11,4160,4140,4180,4150,227799300
5630,2022-11-14,4090,4030,4120,4050,188771200
5631,2022-11-15,4050,4030,4080,4050,88570400
5632,2022-11-16,4000,3960,4070,4050,149512300
5633,2022-11-17,4020,4020,4070,4040,68616700
5634,2022-11-18,4070,4010,4080,4010,115963200
5635,2022-11-21,4020,4010,4060,4030,45277400
5636,2022-11-22,4020,4000,4040,4000,83888300
5637,2022-11-23,3990,3970,4030,3970,95750400
5638,2022-11-24,3980,3980,4040,4030,50741600
5639,2022-11-25,4010,3980,4040,4030,73305800
5640,2022-11-28,4030,3980,4040,3980,94063100
5641,2022-11-29,3980,3980,4020,3980,94389800
5642,2022-11-30,3970,3970,4050,4040,585687400
5643,2022-12-01,3970,3970,4050,4040,0
5644,2022-12-02,3950,3930,4000,4000,113756000
5645,2022-12-05,3980,3820,3990,3840,148751200
5646,2022-12-06,3640,3580,3720,3600,416468700
5647,2022-12-07,3600,3570,3700,3680,278572200
5648,2022-12-08,3700,3620,3780,3740,245646400
5649,2022-12-09,3680,3630,3720,3650,164606100
