,timestamp,open,low,high,close,volume
0,2022-09-16,8700,8450,8725,8450,363127600
1,2022-09-19,8475,8450,8750,8650,102530600
2,2022-09-20,8550,8550,8650,8550,89238400
3,2022-09-21,8525,8425,8600,8475,90933700
4,2022-09-22,8375,8375,8525,8475,61908500
5,2022-09-23,8375,8375,8475,8375,60567600
6,2022-09-26,8200,8200,8500,8425,106228200
7,2022-09-27,8375,8300,8450,8300,89567100
8,2022-09-28,8250,8250,8425,8325,89153400
9,2022-09-29,8325,8325,8450,8375,62643700
10,2022-09-30,8375,8275,8575,8550,176524800
11,2022-10-03,8450,8450,8525,8500,115079600
12,2022-10-04,8525,8525,8625,8550,80524500
13,2022-10-05,8525,8425,8550,8450,63788000
14,2022-10-06,8475,8425,8500,8425,43967400
15,2022-10-07,8325,8200,8375,8200,112043400
16,2022-10-10,8150,8125,8375,8300,80238200
17,2022-10-11,8200,8150,8300,8250,64060000
18,2022-10-12,8200,8175,8325,8325,47569700
19,2022-10-13,8275,8275,8375,8275,62282800
20,2022-10-14,8300,8250,8350,8250,70642900
21,2022-10-17,8250,8175,8300,8250,56387500
22,2022-10-18,8275,8250,8475,8300,85665300
23,2022-10-19,8250,8225,8350,8275,66753500
24,2022-10-20,8250,8250,8500,8500,91812300
25,2022-10-21,8450,8450,8725,8650,122777800
26,2022-10-24,8750,8725,8900,8900,89416500
27,2022-10-25,8825,8700,8875,8700,84696300
28,2022-10-26,8625,8550,8650,8550,98962100
29,2022-10-27,8550,8550,8700,8700,77003400
30,2022-10-28,8650,8650,8750,8750,84980600
31,2022-10-31,8850,8775,8850,8800,138922800
32,2022-11-01,9000,8725,9000,8800,118118400
33,2022-11-02,8800,8725,8825,8750,68323600
34,2022-11-03,8700,8700,8825,8800,81856300
35,2022-11-04,8775,8675,8800,8775,84458300
36,2022-11-07,8725,8725,8800,8800,0
37,2022-11-08,8725,8725,8800,8800,0
38,2022-11-09,8725,8725,8800,8800,0
39,2022-11-10,8725,8725,8800,8800,89463000
40,2022-11-11,8900,8825,8925,8850,59597900
41,2022-11-14,8875,8750,8900,8750,49208200
42,2022-11-15,8775,8750,8850,8800,59092900
43,2022-11-16,8625,8550,8675,8600,143424800
44,2022-11-17,8625,8600,8825,8725,72679800
45,2022-11-18,8725,8725,8900,8825,83899100
46,2022-11-21,8875,8725,8900,8725,35901000
47,2022-11-22,8900,8850,8950,8900,84684200
48,2022-11-23,8900,8875,8975,8875,84642100
49,2022-11-24,8975,8950,9000,9000,53520800
50,2022-11-25,9000,8900,9000,8975,75048300
51,2022-11-28,9050,8975,9100,9025,96209700
52,2022-11-29,8975,8925,9075,8975,91562100
53,2022-11-30,8875,8850,9400,9300,644359600
54,2022-12-01,8875,8850,9400,9300,0
55,2022-12-02,8900,8900,8975,8900,137809400
56,2022-12-05,8800,8775,8900,8775,114656300
57,2022-12-06,8725,8575,8750,8675,180553800
58,2022-12-07,8500,8450,8575,8450,229308700
59,2022-12-08,8375,8350,8575,8500,172590100
60,2022-12-09,8500,8450,8600,8575,90851300
