,Mutual_Funds,Predicted_NAV,Percentage,Label
0,Batavia Dana Kas Maxima,1650.0,0.0,1
1,BNI AM Dana Likuid,1751.0,0.0,1
2,Danamas_rupiah_plus,1614.0,0.02,1
3,Danareksa Seruni Pasar Uang II,1640.0,0.03,1
4,Danareksa Seruni Pasar Uang III,1599.0,0.02,1
5,Manulife_dana_kas_kelas_A,1649.0,-0.01,0
6,Sucorinvest Sharia Money Market Fund,1269.0,0.01,1
7,Bahana Dana Likuid,1715.0,-0.01,0
8,Sucorinvest Money Market Fund,1682.0,0.02,1
9,TRIM Kas 2,1725.0,-0.01,0
